,round_epochs,val_loss,val_mae,loss,mae,neurons_in_1st_h_layer,neurons_in_2nd_h_layer
0,10,0.28234396201067846,0.4323025941848755,0.4198367888548937,0.4650171995162964,200,8
1,10,0.0588410040760127,0.16909615695476532,0.19679608125927556,0.2966654300689697,50,5
2,10,0.06357965445792994,0.14824287593364716,0.09762703732656107,0.21701937913894653,1,100
3,10,0.07126897985899815,0.19468195736408234,0.18523011332212155,0.32619911432266235,8,5
4,10,0.28375299563644113,0.43708550930023193,0.45765299257055614,0.4718298017978668,7,1
5,10,0.07113840136947351,0.18136712908744812,0.18926808788235464,0.3279564082622528,1,8
6,10,0.2802511120705763,0.4239630401134491,0.4232378221503871,0.4659222364425659,200,6
7,10,0.048132724881650754,0.14592325687408447,0.09171608686319224,0.22717076539993286,200,50
8,10,0.04526899032065623,0.1390366107225418,0.06194639610535676,0.1796160340309143,20,200
9,10,0.07928228635189118,0.19743815064430237,0.20895082585915034,0.296964555978775,1,2
10,10,0.28081173916022684,0.4317626655101776,0.41483667922978307,0.46394145488739014,1,6
11,10,0.0674998543986117,0.15758220851421356,0.11494179959678652,0.24984557926654816,6,50
12,10,0.27826235721353654,0.413116455078125,0.40226036339090765,0.4613063633441925,4,6
13,10,0.05070943790003307,0.13213622570037842,0.06755369418966484,0.1861361563205719,3,200
14,10,0.057104507815321365,0.17710961401462555,0.14624467446579148,0.2938705384731293,20,9
15,10,0.05326444219412397,0.13681335747241974,0.09969524868761585,0.23766589164733887,10,50
16,10,0.2777503042298002,0.4091781973838806,0.3754464976761562,0.45090487599372864,5,10
17,10,0.27343133157842936,0.4111669361591339,0.3916671600918731,0.45742905139923096,4,9
18,10,0.27899803839530246,0.41769781708717346,0.2885812050175475,0.43837684392929077,50,3
