,potential,Predicted fluorescence,Observed fluorescence
0,-0.57194567,2.3431616,2.299773357435
1,-0.594938,2.3327577,2.080940231355423
2,-0.74630404,2.2918355,2.475661231591996
3,-0.3753651,2.5037541,2.3601021408769602
4,-0.6287248,2.3197777,2.4477796552172792
5,-0.81926894,2.2845757,2.4232708830261513
6,-0.13312946,2.9725509,3.216034243228613
7,-0.15757494,2.9093668,2.3477040873960777
8,-1.4471394,2.3456018,2.466714922194728
9,-0.97705007,2.2856016,2.402318802352858
10,-0.11031829,3.0342617,2.5601859930326594
11,0.6803686,4.4812098,4.51002934958687
12,0.47875538,4.3600864,4.526417578948058
13,0.4489546,4.3311343,4.39979689147284
14,0.65179884,4.47042,4.5028965252168005
15,0.8027358,4.5106525,4.540198454661722
16,0.60436535,4.4484806,4.496050644228659
17,0.5759588,4.432651,4.505596392154653
18,0.7580156,4.5027065,4.477468893896563
19,0.34105968,4.193331,4.425256633815139
20,0.2806793,4.089878,4.226420800291308
21,0.4943551,4.3738823,4.4485575198069895
22,0.6232764,4.4578676,4.384116869135766
23,0.7547179,4.502002,4.549743597113547
24,0.7276953,4.4955673,4.5569736859986305
25,0.78588545,4.5079985,4.43548196478812
26,-0.34770176,2.539843,2.2386021683616035
27,0.9832239,4.51838,4.551770124621528
28,0.48831442,4.3686466,4.529109578982481
29,0.66525024,4.475713,4.444013520250349
30,-1.1553679,2.3028126,2.301884979829438
31,0.33850566,4.189366,4.452863858346815
32,-0.21760233,2.7687986,3.533570134177027
33,0.7880065,4.5083547,4.489674961208588
34,0.1443193,3.77853,4.309831370108765
35,0.5835904,4.437116,4.446170782912165
36,0.27352628,4.0762386,4.307197190854878
37,0.32154492,4.1621327,4.3800273705445445
38,0.89180386,4.51871,4.507943099133744
39,0.88675356,4.5184956,4.508380580889003
40,0.5066074,4.3841,4.354827949552733
41,0.41294402,4.2912245,4.261879928267319
42,0.9141437,4.5193458,4.516106226548681
43,0.64875394,4.4691677,4.496906953688587
44,-0.057000708,3.186966,3.9664072948284597
45,-0.7464145,2.2918196,2.4590497667857276
46,0.42936406,4.3101225,4.3383658903079505
47,0.45578322,4.338081,4.44580251579726
48,-0.6445501,2.3145592,2.95524016052673
49,-0.4051747,2.4692187,2.728275917479625
50,0.52023005,4.394848,4.467480180566382
51,-1.1991293,2.3085015,2.406182869579596
52,0.41277406,4.2910223,4.3814472476098905
53,0.058669943,3.535464,3.820015347578661
54,0.7086866,4.490296,4.51666065665814
55,0.7427503,4.4993005,4.490838374320619
56,0.18546551,3.8836172,4.271983380890595
57,0.0034228899,3.36872,3.3968782617472324
58,0.6695987,4.4773417,4.489743533671785
59,0.69846785,4.4871926,4.444656561734336
60,-0.80209416,2.2857373,2.2441177163158934
61,-0.58197486,2.3384573,2.147496789459075
62,0.021750826,3.424362,3.7650072466818942
63,0.5394275,4.408951,4.4377170553397365
64,0.70643795,4.4896297,4.509071773613348
65,0.48454723,4.365314,4.484176321298059
66,0.4863117,4.3668814,4.434783725799121
67,0.14317936,3.7754943,2.5423734705746353
68,-0.51872647,2.3728492,2.436769697289388
69,0.33954322,4.190981,4.333868541221023
70,0.20844202,3.9382508,4.2652157343246335
71,0.39039478,4.263258,4.300574925796349
72,0.41777208,4.2969065,4.226044033543968
73,0.4746742,4.356327,4.507166159611356
74,0.39720938,4.2719626,4.437493433598558
75,-4.517313,2.571431,2.5425916400757234
76,-0.5313618,2.3650348,3.334790896465761
77,-0.5687346,2.3447235,2.352694301062737
78,-1.5092077,2.3554132,2.5104335243311686
79,0.20347793,3.9267035,4.377111665005861
80,0.4639403,4.3461323,4.414298748143858
81,0.41499037,4.293646,4.36722188469008
82,0.6289965,4.4605355,4.414670617898497
83,0.68133867,4.4815464,4.487060773267537
84,-0.13670091,2.9631221,3.5602467457421345
85,-0.20502444,2.7964473,3.174769783004319
86,-0.50245786,2.3836749,2.25733615720051
87,0.3841233,4.2550497,4.288867955723577
88,-0.6283635,2.3199031,2.385383846797394
89,0.41822612,4.2974353,4.3980538143447925
90,0.16452755,3.8312602,3.7748582552704466
91,-0.4996676,2.385621,2.0485788202302806
92,0.2839459,4.096007,3.968608283062944
93,0.6043696,4.448483,4.3330266717877794
94,0.6199684,4.456289,4.48117991215405
95,-1.9136562,2.4162755,1.8326232338977537
96,0.5779502,4.433831,4.458778870694722
97,0.32869956,4.1738133,4.439577148413833
98,0.5773246,4.4334617,4.367640504766877
99,0.8442979,4.515589,4.477626557305677
100,-1.4832885,2.3513126,2.370302581174283
101,-0.8390396,2.2836065,2.422152689966461
102,0.24537443,4.0196285,4.359982878366783
103,-3.6129162,2.5496814,2.031283912438172
104,0.35797748,4.218719,4.452578753321581
105,0.022090334,3.4253914,4.304526519523671
106,-1.5597157,2.3633897,2.857199268985063
107,-1.6655524,2.3798969,2.1230229952581285
108,0.121068954,3.715399,4.308838400009221
109,0.28628573,4.100359,4.390118593563443
110,0.27065054,4.07067,4.339949374316675
111,-0.1847591,2.8430362,3.277883800682738
112,-0.80489933,2.2855265,2.3561506324295984
113,-0.7792009,2.2877867,2.024759411448509
114,-1.8322299,2.4047847,2.4389221199543076
115,-1.309648,2.3243227,2.366945976554593
116,0.5362607,4.406706,4.458489110318815
117,0.14501958,3.780392,4.2207078102159965
118,0.53475505,4.4056273,4.427761317439461
119,-1.2414205,2.3143485,2.162001382741595
120,-1.0687027,2.2930002,2.818032076829655
121,-2.074904,2.4375272,2.562465272632976
122,0.28558385,4.0990567,4.302469713082702
123,-0.034226518,3.2548208,3.695788496692868
124,-1.1975346,2.3082874,2.2430443330795464
125,-1.5641913,2.3640947,2.1972493601179672
126,-1.0191113,2.2885368,2.203174893223404
127,-0.5655527,2.346299,2.4491583244839963
128,-1.7655509,2.3950295,2.3366365692143685
129,-1.5122919,2.3559008,1.9825223591363825
130,0.082728386,3.606356,4.124302171106961
131,0.7063735,4.4896107,4.468639674231706
132,-2.134175,2.4448128,2.5824684910307267
133,-0.27286637,2.6590002,2.5691386862980634
134,-2.0820222,2.4384172,2.4590886296523387
135,0.31034997,4.143285,4.352378427983622
136,-0.11542906,3.0202203,2.4654067563712583
137,-0.00052187964,3.356739,1.4389232039748836
138,0.5916102,4.4416385,4.42267022355496
139,0.08259435,3.6059654,4.1599706007807855
140,-0.23584019,2.7304568,2.2036754679532145
141,0.11865367,3.708701,4.168792456441118
142,-1.6964718,2.3846333,2.242982533815658
143,-1.0484709,2.2910614,2.4600189205977405
144,-1.7815135,2.3973916,2.380525897225874
145,0.09674908,3.6468656,4.3074643746852
146,-0.6822941,2.304094,1.9097013502495233
147,-0.14456414,2.9425972,1.4637791630440298
148,-0.72736585,2.2948182,2.3377910234134167
149,-0.99200857,2.286546,2.4064550909638274
150,-1.2369158,2.3137116,2.2389308040499674
151,0.78416145,4.5077043,4.509384453409978
152,0.20598646,3.9325564,4.3572652617696335
153,-0.18748425,2.8366265,2.327182505418562
154,0.11975865,3.7117684,4.287507940338342
155,0.32046938,4.1603527,4.423850105310427
156,0.33750826,4.187808,4.432493345703448
157,0.13533033,3.754421,4.238298970484655
158,0.08694132,3.6185973,4.030060240146223
159,-0.044549208,3.2239242,4.25525596549866
160,-0.5242618,2.3693635,2.036409840295996
161,-0.2742205,2.656548,2.622904330882163
162,-0.7021464,2.2996082,2.547793437262606
163,0.18918797,3.8926718,4.370891314154857
164,0.41429797,4.2928286,4.44031293522158
165,-1.0482333,2.2910395,2.1728612056757215
166,-1.8098035,2.4015367,2.179474398921777
