retention_volume_mL,molecular_weight_g/mol,peak,gene,replicate
6.477962494,1524732.125,0,pplu,1
6.480295658,1528329.125,0,pplu,1
6.482628822,1531934.625,0,pplu,1
6.484961987,1535548.625,0,pplu,1
6.487295151,1539171.125,0,pplu,1
6.489628315,1542802.125,0,pplu,1
6.491961479,1546441.75,0,pplu,1
6.494294643,1550089.875,0,pplu,1
6.496627808,1553746.75,0,pplu,1
6.498960972,1557412.125,0,pplu,1
6.501294136,1561086.25,0,pplu,1
6.5036273,1564768.875,0,pplu,1
6.505960464,1568460.375,0,pplu,1
6.508293629,1572160.5,0,pplu,1
6.510626793,1575869.375,0,pplu,1
6.512959957,1579587,0,pplu,1
6.515293121,1583313.375,0,pplu,1
6.517626286,1587048.5,0,pplu,1
6.51995945,1590792.5,0,pplu,1
6.522292614,1594545.375,0,pplu,1
6.524625778,1598307,0,pplu,1
6.526958942,1602077.5,0,pplu,1
6.529292107,1605857,0,pplu,1
6.531625271,1609645.375,0,pplu,1
6.533958435,1613442.625,0,pplu,1
6.536291599,1617248.875,0,pplu,1
6.538624763,1621064.125,0,pplu,1
6.540957928,1068178.125,0,pplu,1
6.543291092,1156820.5,0,pplu,1
6.545624256,1169744.125,0,pplu,1
6.54795742,1161466.5,0,pplu,1
6.550290585,1174486,0,pplu,1
6.552623749,1173293.375,0,pplu,1
6.554956913,1158636.5,0,pplu,1
6.557290077,1169222,0,pplu,1
6.559623241,1190471.375,0,pplu,1
6.561956406,1228485.125,0,pplu,1
6.56428957,1299952.625,0,pplu,1
6.566622734,1345055.375,0,pplu,1
6.568955898,1370091.875,0,pplu,1
6.571289063,1425383.375,0,pplu,1
6.573622227,1486373.625,0,pplu,1
6.575955391,1488001.875,0,pplu,1
6.578288555,1499475,0,pplu,1
6.580621719,1482939.75,0,pplu,1
6.582954884,1467965,0,pplu,1
6.585288048,1436756.5,0,pplu,1
6.587621212,1438749.5,0,pplu,1
6.589954376,1527462.625,0,pplu,1
6.59228754,1574802.25,0,pplu,1
6.594620705,1611200.375,0,pplu,1
6.596953869,1609627.75,0,pplu,1
6.599287033,1637966.375,0,pplu,1
6.601620197,1658826.125,0,pplu,1
6.603953362,1665021.5,0,pplu,1
6.606286526,1692672.625,0,pplu,1
6.60861969,1721309.875,0,pplu,1
6.610952854,1735095,0,pplu,1
6.613286018,1753417.5,0,pplu,1
6.615619183,1800862.375,0,pplu,1
6.617952347,1799812.875,0,pplu,1
6.620285511,1805438,0,pplu,1
6.622618675,1853537.625,0,pplu,1
6.624951839,1904757.625,0,pplu,1
6.627285004,1951615.5,0,pplu,1
6.629618168,1959817.125,0,pplu,1
6.631951332,1955837.625,0,pplu,1
6.634284496,1949215,0,pplu,1
6.636617661,1908757.75,0,pplu,1
6.638950825,1905673.875,0,pplu,1
6.641283989,1905365.5,0,pplu,1
6.643617153,1947201.25,0,pplu,1
6.645950317,1954330.875,0,pplu,1
6.648283482,1962513.125,0,pplu,1
6.650616646,1973110.375,0,pplu,1
6.65294981,1963243.125,0,pplu,1
6.655282974,1958608.5,0,pplu,1
6.657616138,1969784.25,0,pplu,1
6.659949303,1962084.75,0,pplu,1
6.662282467,1967229.5,0,pplu,1
6.664615631,2005525.5,0,pplu,1
6.666948795,2059401.75,0,pplu,1
6.66928196,2083156.25,0,pplu,1
6.671615124,2107344.75,0,pplu,1
6.673948288,2120641.75,0,pplu,1
6.676281452,2130887,0,pplu,1
6.678614616,2122355.75,0,pplu,1
6.680947781,2115531.25,0,pplu,1
6.683280945,2122761.75,0,pplu,1
6.685614109,2124571,0,pplu,1
6.687947273,2137266.75,0,pplu,1
6.690280437,2115071.25,0,pplu,1
6.692613602,2110780.75,0,pplu,1
6.694946766,2110499.5,0,pplu,1
6.69727993,2114643,0,pplu,1
6.699613094,2156560.25,0,pplu,1
6.701946259,2179121.75,0,pplu,1
6.704279423,2194266.25,0,pplu,1
6.706612587,2210594.75,0,pplu,1
6.708945751,2210399.75,0,pplu,1
6.711278915,2197946.25,0,pplu,1
6.71361208,2187874.75,0,pplu,1
6.715945244,2189382.75,0,pplu,1
6.718278408,2171144.25,0,pplu,1
6.720611572,2182935.5,0,pplu,1
6.722944736,2207606.25,0,pplu,1
6.725277901,2255020.25,0,pplu,1
6.727611065,2284318.25,0,pplu,1
6.729944229,2293423.5,0,pplu,1
6.732277393,2311113.25,0,pplu,1
6.734610558,2312140,0,pplu,1
6.736943722,2312074,0,pplu,1
6.739276886,2307843.25,0,pplu,1
6.74161005,2292492.75,0,pplu,1
6.743943214,2294900.5,0,pplu,1
6.746276379,2292429,0,pplu,1
6.748609543,2282390,0,pplu,1
6.750942707,2274107.75,0,pplu,1
6.753275871,2276689,0,pplu,1
6.755609035,2299397.25,0,pplu,1
6.7579422,2309659,0,pplu,1
6.760275364,2311784.25,0,pplu,1
6.762608528,2303695.75,0,pplu,1
6.764941692,2349045.5,0,pplu,1
6.767274857,2361224.75,0,pplu,1
6.769608021,2345869.25,0,pplu,1
6.771941185,2318697.5,0,pplu,1
6.774274349,2314810.5,0,pplu,1
6.776607513,2299629.5,0,pplu,1
6.778940678,2290002,0,pplu,1
6.781273842,2285790.75,0,pplu,1
6.783607006,2261240.5,0,pplu,1
6.78594017,2272055,0,pplu,1
6.788273335,2273662.75,0,pplu,1
6.790606499,2264444.5,0,pplu,1
6.792939663,2260381.25,0,pplu,1
6.795272827,2256025.75,0,pplu,1
6.797605991,2258403.75,0,pplu,1
6.799939156,2281506.5,0,pplu,1
6.80227232,2284761.75,0,pplu,1
6.804605484,2269077,0,pplu,1
6.806938648,2286441.5,0,pplu,1
6.809271812,2301255.25,0,pplu,1
6.811604977,2278102.25,0,pplu,1
6.813938141,2286669.75,0,pplu,1
6.816271305,2296337.75,0,pplu,1
6.818604469,2308324.75,0,pplu,1
6.820937634,2297456,0,pplu,1
6.823270798,2298445,0,pplu,1
6.825603962,2280427,0,pplu,1
6.827937126,2290322,0,pplu,1
6.83027029,2321871.25,0,pplu,1
6.832603455,2305479.75,0,pplu,1
6.834936619,2297100.5,0,pplu,1
6.837269783,2291146.5,0,pplu,1
6.839602947,2278453,0,pplu,1
6.841936111,2274661.5,0,pplu,1
6.844269276,2246444,0,pplu,1
6.84660244,2215317,0,pplu,1
6.848935604,2208136.25,0,pplu,1
6.851268768,2229598,0,pplu,1
6.853601933,2227824,0,pplu,1
6.855935097,2235696.25,0,pplu,1
6.858268261,2253416.25,0,pplu,1
6.860601425,2262808.5,0,pplu,1
6.862934589,2276633,0,pplu,1
6.865267754,2253637.25,0,pplu,1
6.867600918,2250891,0,pplu,1
6.869934082,2257475.25,0,pplu,1
6.872267246,2269798.25,0,pplu,1
6.87460041,2237646.75,0,pplu,1
6.876933575,2218525.25,0,pplu,1
6.879266739,2198507,0,pplu,1
6.881599903,2195149,0,pplu,1
6.883933067,2181654,0,pplu,1
6.886266232,2161765.25,0,pplu,1
6.888599396,2157815.75,0,pplu,1
6.89093256,2155370.5,0,pplu,1
6.893265724,2134751.5,0,pplu,1
6.895598888,2104812.75,0,pplu,1
6.897932053,2076047.75,0,pplu,1
6.900265217,2064330.875,0,pplu,1
6.902598381,2057657.625,0,pplu,1
6.904931545,2061412,0,pplu,1
6.907264709,2052222.875,0,pplu,1
6.909597874,2056036.5,0,pplu,1
6.911931038,2074995.5,0,pplu,1
6.914264202,2082121.625,0,pplu,1
6.916597366,2074779,0,pplu,1
6.918930531,2077109.625,0,pplu,1
6.921263695,2085613,0,pplu,1
6.923596859,2075563.375,0,pplu,1
6.925930023,2085577.75,0,pplu,1
6.928263187,2077495.75,0,pplu,1
6.930596352,2071668.75,0,pplu,1
6.932929516,2073534.375,0,pplu,1
6.93526268,2077861.625,0,pplu,1
6.937595844,2081352.5,0,pplu,1
6.939929008,2093851.5,0,pplu,1
6.942262173,2110160.25,0,pplu,1
6.944595337,2124796.5,0,pplu,1
6.946928501,2122636,0,pplu,1
6.949261665,2124255.75,0,pplu,1
6.95159483,2107197.75,0,pplu,1
6.953927994,2108149,0,pplu,1
6.956261158,2107184.5,0,pplu,1
6.958594322,2108147,0,pplu,1
6.960927486,2105180,0,pplu,1
6.963260651,2114360.75,0,pplu,1
6.965593815,2109694.75,0,pplu,1
6.967926979,2117630.75,0,pplu,1
6.970260143,2118203.25,0,pplu,1
6.972593307,2098889.5,0,pplu,1
6.974926472,2099726.5,0,pplu,1
6.977259636,2105998.5,0,pplu,1
6.9795928,2086546.875,0,pplu,1
6.981925964,2072022.25,0,pplu,1
6.984259129,2067120.375,0,pplu,1
6.986592293,2071790.875,0,pplu,1
6.988925457,2057468.125,0,pplu,1
6.991258621,2034281.25,0,pplu,1
6.993591785,2036139.75,0,pplu,1
6.99592495,2039647.5,0,pplu,1
6.998258114,2042840,0,pplu,1
7.000591278,2039509.375,0,pplu,1
7.002924442,2029636.125,0,pplu,1
7.005257607,2026429.5,0,pplu,1
7.007590771,2030653.75,0,pplu,1
7.009923935,2024263.75,0,pplu,1
7.012257099,2030468.375,0,pplu,1
7.014590263,2017756.375,0,pplu,1
7.016923428,2009966.125,0,pplu,1
7.019256592,2009983.75,0,pplu,1
7.021589756,1994224.25,0,pplu,1
7.02392292,1976840,0,pplu,1
7.026256084,1981560.125,0,pplu,1
7.028589249,1971274.625,0,pplu,1
7.030922413,1970162.875,0,pplu,1
7.033255577,1959402.5,0,pplu,1
7.035588741,1955442.875,0,pplu,1
7.037921906,1958768.75,0,pplu,1
7.04025507,1947466.625,0,pplu,1
7.042588234,1945525.125,0,pplu,1
7.044921398,1945955.875,0,pplu,1
7.047254562,1937254.5,0,pplu,1
7.049587727,1926427.625,0,pplu,1
7.051920891,1935559.25,0,pplu,1
7.054254055,1934956.5,0,pplu,1
7.056587219,1920680,0,pplu,1
7.058920383,1902359.625,0,pplu,1
7.061253548,1902361.375,0,pplu,1
7.063586712,1904463,0,pplu,1
7.065919876,1900093.25,0,pplu,1
7.06825304,1889624.875,0,pplu,1
7.070586205,1894588.625,0,pplu,1
7.072919369,1890603.75,0,pplu,1
7.075252533,1884620.875,0,pplu,1
7.077585697,1867415,0,pplu,1
7.079918861,1847332,0,pplu,1
7.082252026,1842764.375,0,pplu,1
7.08458519,1847984.75,0,pplu,1
7.086918354,1843178.75,0,pplu,1
7.089251518,1826160.625,0,pplu,1
7.091584682,1820179.25,0,pplu,1
7.093917847,1830095.125,0,pplu,1
7.096251011,1845161.125,0,pplu,1
7.098584175,1836952.5,0,pplu,1
7.100917339,1846211.75,0,pplu,1
7.103250504,1853259,0,pplu,1
7.105583668,1853671,0,pplu,1
7.107916832,1863659.875,0,pplu,1
7.110249996,1853534.375,0,pplu,1
7.11258316,1854982.75,0,pplu,1
7.114916325,1852977,0,pplu,1
7.117249489,1848209.5,0,pplu,1
7.119582653,1833367.875,0,pplu,1
7.121915817,1844572.125,0,pplu,1
7.124248981,1857992.375,0,pplu,1
7.126582146,1859379.375,0,pplu,1
7.12891531,1861854.75,0,pplu,1
7.131248474,1855462.75,0,pplu,1
7.133581638,1847834.125,0,pplu,1
7.135914803,1859362.25,0,pplu,1
7.138247967,1862928.625,0,pplu,1
7.140581131,1870370.375,0,pplu,1
7.142914295,1868011.75,0,pplu,1
7.145247459,1880288.375,0,pplu,1
7.147580624,1875000.375,0,pplu,1
7.149913788,1896717.875,0,pplu,1
7.152246952,1909168,0,pplu,1
7.154580116,1886536.375,0,pplu,1
7.15691328,1889229.625,0,pplu,1
7.159246445,1894370.75,0,pplu,1
7.161579609,1906216,0,pplu,1
7.163912773,1903141.75,0,pplu,1
7.166245937,1908908.375,0,pplu,1
7.168579102,1901125,0,pplu,1
7.170912266,1894410.75,0,pplu,1
7.17324543,1897128.75,0,pplu,1
7.175578594,1898672,0,pplu,1
7.177911758,1899060.75,0,pplu,1
7.180244923,1910179.875,0,pplu,1
7.182578087,1915657.5,0,pplu,1
7.184911251,1923727.125,0,pplu,1
7.187244415,1922540.25,0,pplu,1
7.189577579,1937796.25,0,pplu,1
7.191910744,1949829.375,0,pplu,1
7.194243908,1966655.125,0,pplu,1
7.196577072,1957261.25,0,pplu,1
7.198910236,1963894.375,0,pplu,1
7.201243401,1990608.25,0,pplu,1
7.203576565,1995249.75,0,pplu,1
7.205909729,1993263,0,pplu,1
7.208242893,1974802.25,0,pplu,1
7.210576057,1952223.75,0,pplu,1
7.212909222,1918973.375,0,pplu,1
7.215242386,1897161.75,0,pplu,1
7.21757555,1867232.125,0,pplu,1
7.219908714,1860020,0,pplu,1
7.222241879,1848919.5,0,pplu,1
7.224575043,1829876,0,pplu,1
7.226908207,1803132.25,0,pplu,1
7.229241371,1782899,0,pplu,1
7.231574535,1773217.375,0,pplu,1
7.2339077,1757561.25,0,pplu,1
7.236240864,1737905,0,pplu,1
7.238574028,1717089.875,0,pplu,1
7.240907192,1707185.25,0,pplu,1
7.243240356,1714785.125,0,pplu,1
7.245573521,1727098.875,0,pplu,1
7.247906685,1731233.5,0,pplu,1
7.250239849,1737576,0,pplu,1
7.252573013,1736596.5,0,pplu,1
7.254906178,1745898,0,pplu,1
7.257239342,1775597.625,0,pplu,1
7.259572506,1793340.125,0,pplu,1
7.26190567,1800224.5,0,pplu,1
7.264238834,1800903.875,0,pplu,1
7.266571999,1787959.625,0,pplu,1
7.268905163,1784693.75,0,pplu,1
7.271238327,1786586.625,0,pplu,1
7.273571491,1794345.25,0,pplu,1
7.275904655,1791069.875,0,pplu,1
7.27823782,1785596.375,0,pplu,1
7.280570984,1802433.375,0,pplu,1
7.282904148,1813812.25,0,pplu,1
7.285237312,1819935.625,0,pplu,1
7.287570477,1825347.75,0,pplu,1
7.289903641,1813049.5,0,pplu,1
7.292236805,1792694.875,0,pplu,1
7.294569969,1800413.75,0,pplu,1
7.296903133,1806701.25,0,pplu,1
7.299236298,1815983.75,0,pplu,1
7.301569462,1817078.375,0,pplu,1
7.303902626,1797313.25,0,pplu,1
7.30623579,1795507.375,0,pplu,1
7.308568954,1788173.125,0,pplu,1
7.310902119,1794442.5,0,pplu,1
7.313235283,1792617.625,0,pplu,1
7.315568447,1775976.5,0,pplu,1
7.317901611,1760145.375,0,pplu,1
7.320234776,1743374.875,0,pplu,1
7.32256794,1736413.625,0,pplu,1
7.324901104,1718023.5,0,pplu,1
7.327234268,1692060.875,0,pplu,1
7.329567432,1686228.5,0,pplu,1
7.331900597,1689432.875,0,pplu,1
7.334233761,1688976.75,0,pplu,1
7.336566925,1695625.5,0,pplu,1
7.338900089,1696733.125,0,pplu,1
7.341233253,1685984.375,0,pplu,1
7.343566418,1682730.5,0,pplu,1
7.345899582,1673678.875,0,pplu,1
7.348232746,1667158.375,0,pplu,1
7.35056591,1669047,0,pplu,1
7.352899075,1666150.5,0,pplu,1
7.355232239,1663486.625,0,pplu,1
7.357565403,1657422.875,0,pplu,1
7.359898567,1646191.125,0,pplu,1
7.362231731,1646137.625,0,pplu,1
7.364564896,1644452.375,0,pplu,1
7.36689806,1643759.875,0,pplu,1
7.369231224,1635098.375,0,pplu,1
7.371564388,1645757.375,0,pplu,1
7.373897552,1647258.125,0,pplu,1
