retention_volume_mL,refractive_index_mV,ultraviolet_mV,right_angle_light_scatter_mV,gene,replicate
0,-0.582838058,0.002743921,81.60520172,pplu,1
0.004666667,-0.646570146,0.053923819,81.60540009,pplu,1
0.009333333,-0.702602327,0.058428559,81.60630035,pplu,1
0.014,-0.751633525,0.051826801,81.60739899,pplu,1
0.018666666,-0.794265628,-0.01806803,81.60829926,pplu,1
0.023333333,-0.810198605,0.109796263,81.60879517,pplu,1
0.027999999,-0.77183032,0.079425417,81.60889435,pplu,1
0.032666665,-0.7344625,0.028941477,81.60910034,pplu,1
0.037333332,-0.706294715,-0.041881479,81.60900116,pplu,1
0.041999999,-0.689326942,0.012451329,81.60879517,pplu,1
0.046666667,-0.683458924,-0.007662179,81.60839844,pplu,1
0.051333331,-0.683991015,0.074273191,81.6078949,pplu,1
0.055999998,-0.696922839,-0.024694512,81.60669708,pplu,1
0.060666665,-0.713255405,0.072901003,81.60559845,pplu,1
0.065333329,-0.726387501,0.101148255,81.60469818,pplu,1
0.07,-0.741719663,0.0610434,81.604599,pplu,1
0.074666664,-0.757651687,0.083775073,81.60549927,pplu,1
0.079333328,-0.770483375,-0.004193507,81.60649872,pplu,1
0.083999999,-0.784515679,0.046467796,81.6072998,pplu,1
0.088666663,-0.797348261,0.065910675,81.60769653,pplu,1
0.093333334,-0.802680254,0.110676616,81.60829926,pplu,1
0.097999997,-0.805011928,-0.02314144,81.60910034,pplu,1
0.102666661,-0.798544109,0.065496437,81.60959625,pplu,1
0.107333332,-0.789176106,0.117460519,81.61000061,pplu,1
0.111999996,-0.780608237,0.150268152,81.61039734,pplu,1
0.11666666,-0.769640982,0.141205013,81.61039734,pplu,1
0.121333331,-0.759472847,0.059127577,81.60949707,pplu,1
0.126000002,-0.744404793,-0.022779055,81.60849762,pplu,1
0.130666658,-0.726237237,0.056486856,81.6078949,pplu,1
0.135333329,-0.711269259,0.050817128,81.60779572,pplu,1
0.140000001,-0.69720161,-0.060827766,81.60769653,pplu,1
0.144666657,-0.680033505,-0.024849819,81.6072998,pplu,1
0.149333328,-0.662265599,0.077043481,81.60689545,pplu,1
0.153999999,-0.645297766,0.03867536,81.61209869,pplu,1
0.158666655,-0.629629791,0.050817128,81.62069702,pplu,1
0.163333327,-0.615562141,0.068706796,81.63009644,pplu,1
0.167999998,-0.601994157,0.039685,81.63409424,pplu,1
0.172666654,-0.594525933,0.034274373,81.63549805,pplu,1
0.177333325,-0.587257922,-0.028007714,81.63610077,pplu,1
0.181999996,-0.580890179,-0.021070668,81.63629913,pplu,1
0.186666667,-0.569822788,0.020968141,81.63610077,pplu,1
0.191333324,-0.564854085,0.012037142,81.63559723,pplu,1
0.195999995,-0.562686384,0.0576001,81.63409424,pplu,1
0.200666666,-0.560119033,0.082609981,81.62670135,pplu,1
0.205333322,-0.556050599,0.027880084,81.61729431,pplu,1
0.209999993,-0.550382912,0.096643075,81.60849762,pplu,1
0.214666665,-0.540115595,0.035387561,81.60609436,pplu,1
0.219333321,-0.527647197,0.012969064,81.60569763,pplu,1
0.223999992,-0.516979396,0.070260204,81.60540009,pplu,1
0.228666663,-0.501811147,0.0312196,81.604599,pplu,1
0.233333319,-0.494343847,-0.006264359,81.60350037,pplu,1
0.237999991,-0.484175742,0.030520631,81.60250092,pplu,1
0.242666662,-0.473207504,0.041108862,81.60199738,pplu,1
0.247333318,-0.461339951,0.027880084,81.60169983,pplu,1
0.252000004,-0.452272385,0.00025886,81.60189819,pplu,1
0.25666666,-0.444703966,-0.004038192,81.60240173,pplu,1
0.261333317,-0.438236117,0.082402855,81.60289764,pplu,1
0.266000003,-0.43746838,-0.006833842,81.60289764,pplu,1
0.270666659,-0.431300938,-0.000569491,81.6026001,pplu,1
0.275333315,-0.429232359,0.081185989,81.60250092,pplu,1
0.280000001,-0.425864905,0.041600741,81.60289764,pplu,1
0.284666657,-0.424596488,0.000802466,81.60329437,pplu,1
0.289333314,-0.426628739,0.07010486,81.60350037,pplu,1
0.294,-0.42776072,0.113291778,81.60340118,pplu,1
0.298666656,-0.424192965,0.031374928,81.60299683,pplu,1
0.303333312,-0.422425777,-0.012062694,81.6026001,pplu,1
0.307999998,-0.420357227,0.092578091,81.60240173,pplu,1
0.312666655,-0.410389394,-0.02624758,81.6026001,pplu,1
0.317333311,-0.403321683,0.100630417,81.60289764,pplu,1
0.321999997,-0.391953826,0.031374928,81.60309601,pplu,1
0.326666653,-0.379986137,-0.022623746,81.60289764,pplu,1
