temperature,value,abs,gene,nm
29.99,-5.50492,419.152,cgre,218
30.16,-6.10476,418.971,cgre,218
30.45,-5.50369,419.124,cgre,218
30.65,-5.94254,419.012,cgre,218
30.79,-6.03868,419.015,cgre,218
31.02,-5.3366,419.238,cgre,218
31.22,-5.55106,419.204,cgre,218
31.37,-5.55783,419.235,cgre,218
31.49,-5.9981,419.145,cgre,218
31.68,-5.66006,419.229,cgre,218
31.88,-5.97105,419.196,cgre,218
32.06,-5.64164,419.325,cgre,218
32.18,-6.07393,419.232,cgre,218
32.36,-5.81859,419.346,cgre,218
32.6,-6.11953,419.273,cgre,218
32.78,-5.79177,419.406,cgre,218
32.89,-5.85953,419.422,cgre,218
33.07,-5.66649,419.49,cgre,218
33.3,-5.79963,419.483,cgre,218
33.48,-6.089,419.471,cgre,218
33.59,-5.8955,419.55,cgre,218
33.82,-5.8816,419.625,cgre,218
33.98,-6.07967,419.541,cgre,218
34.15,-5.68513,419.723,cgre,218
34.3,-5.8282,419.714,cgre,218
34.51,-5.56945,419.803,cgre,218
34.71,-5.78977,419.791,cgre,218
34.81,-5.57062,419.86,cgre,218
34.96,-5.6055,419.894,cgre,218
35.19,-5.57325,419.946,cgre,218
35.43,-5.82526,419.914,cgre,218
35.55,-5.994,419.925,cgre,218
35.69,-5.85372,419.961,cgre,218
35.9,-5.80187,420.034,cgre,218
36.13,-5.9423,420.027,cgre,218
36.33,-5.57844,420.152,cgre,218
36.41,-5.45947,420.212,cgre,218
36.54,-5.79458,420.173,cgre,218
36.78,-5.88408,420.134,cgre,218
36.98,-5.76008,420.209,cgre,218
37.09,-5.64976,420.272,cgre,218
37.29,-5.60515,420.325,cgre,218
37.5,-5.41563,420.402,cgre,218
37.73,-5.68915,420.353,cgre,218
37.85,-5.20197,420.522,cgre,218
37.97,-6.041,420.306,cgre,218
38.19,-6.03495,420.35,cgre,218
38.33,-6.01599,420.384,cgre,218
38.48,-5.80174,420.468,cgre,218
38.71,-5.5847,420.549,cgre,218
38.92,-5.91959,420.509,cgre,218
39.12,-5.67339,420.612,cgre,218
