nm,value,abs,gene,temp
260,0.721467,292.808,buffer,30
259,0.738128,293.593,buffer,30
258,0.743214,294.37,buffer,30
257,0.772755,295.133,buffer,30
256,0.767372,295.877,buffer,30
255,0.782332,296.607,buffer,30
254,0.778329,297.312,buffer,30
253,0.738957,298.005,buffer,30
252,0.711398,298.694,buffer,30
251,0.733235,299.397,buffer,30
250,0.70843,300.064,buffer,30
249,0.751623,300.734,buffer,30
248,0.745944,301.439,buffer,30
247,0.772475,302.175,buffer,30
246,0.763089,302.956,buffer,30
245,0.747342,303.738,buffer,30
244,0.690048,304.535,buffer,30
243,0.674228,305.42,buffer,30
242,0.644024,306.378,buffer,30
241,0.659708,307.444,buffer,30
240,0.627825,308.6,buffer,30
239,0.627642,309.846,buffer,30
238,0.626458,311.17,buffer,30
237,0.645737,312.565,buffer,30
236,0.664563,314.034,buffer,30
235,0.618365,315.573,buffer,30
234,0.587879,317.208,buffer,30
233,0.560095,318.963,buffer,30
232,0.598388,320.837,buffer,30
231,0.635243,322.942,buffer,30
230,0.675408,325.456,buffer,30
229,0.654373,328.441,buffer,30
228,0.610227,332.088,buffer,30
227,0.6081,336.411,buffer,30
226,0.628729,341.555,buffer,30
225,0.674083,347.59,buffer,30
224,0.638551,354.497,buffer,30
223,0.62916,362.299,buffer,30
222,0.568134,370.992,buffer,30
221,0.529726,380.631,buffer,30
220,0.462906,391.155,buffer,30
219,0.595565,402.492,buffer,30
218,0.577914,414.371,buffer,30
217,0.651374,426.625,buffer,30
216,0.603201,439.08,buffer,30
215,0.667367,451.683,buffer,30
214,0.676135,464.353,buffer,30
213,0.611191,477.023,buffer,30
212,0.969263,489.604,buffer,30
211,1.09585,501.755,buffer,30
210,1.13048,513.364,buffer,30
209,0.858157,524.332,buffer,30
208,0.20427,534.747,buffer,30
207,-0.197354,544.992,buffer,30
206,-0.22398,555.56,buffer,30
205,-0.136604,567.116,buffer,30
204,0.301391,580.928,buffer,30
203,0.177974,598.629,buffer,30
202,0.60324,623.255,buffer,30
201,0.399179,658.483,buffer,30
200,0.596732,710.42,buffer,30
260,0.57012,,buffer,98
259,0.5615646,,buffer,98
258,0.5654008,,buffer,98
257,0.5891074,,buffer,98
256,0.6279989,,buffer,98
255,0.6199953,,buffer,98
254,0.5816249,,buffer,98
253,0.5430133,,buffer,98
252,0.5539098,,buffer,98
251,0.579313,,buffer,98
250,0.5752714,,buffer,98
249,0.5509657,,buffer,98
248,0.5459951,,buffer,98
247,0.4924024,,buffer,98
246,0.4543544,,buffer,98
245,0.4402446,,buffer,98
244,0.4917078,,buffer,98
243,0.5306265,,buffer,98
242,0.4851145,,buffer,98
241,0.4139089,,buffer,98
240,0.3808773,,buffer,98
239,0.4067087,,buffer,98
238,0.389292,,buffer,98
237,0.3768557,,buffer,98
236,0.3995966,,buffer,98
235,0.3675527,,buffer,98
234,0.3553881,,buffer,98
233,0.2396999,,buffer,98
232,0.2225739,,buffer,98
231,0.2169639,,buffer,98
230,0.1961541,,buffer,98
229,0.1911388,,buffer,98
228,0.1809072,,buffer,98
227,0.121025,,buffer,98
226,0.05862524,,buffer,98
225,0.05344269,,buffer,98
224,0.08682006,,buffer,98
223,0.08312214,,buffer,98
222,0.0121505,,buffer,98
221,-0.1377643,,buffer,98
220,-0.08499016,,buffer,98
219,-0.01516771,,buffer,98
218,0.0508526,,buffer,98
217,-0.02372266,,buffer,98
216,-0.067459,,buffer,98
215,-0.0646503,,buffer,98
214,-0.1209661,,buffer,98
213,0.1151586,,buffer,98
212,0.05474433,,buffer,98
211,0.05962456,,buffer,98
210,-0.2966284,,buffer,98
209,-0.164005,,buffer,98
208,0.1780874,,buffer,98
207,0.3372788,,buffer,98
206,-0.4807715,,buffer,98
205,-1.014402,,buffer,98
204,-0.5251954,,buffer,98
203,0.08643696,,buffer,98
202,0.3331864,,buffer,98
201,-0.2705478,,buffer,98
200,0.4791418,,buffer,98
260,0.937882,290.965,cgre,30
259,0.914432,291.709,cgre,30
258,0.898347,292.45,cgre,30
257,0.845995,293.159,cgre,30
256,0.854501,293.88,cgre,30
255,0.872168,294.592,cgre,30
254,0.879575,295.287,cgre,30
253,0.829419,295.965,cgre,30
252,0.765817,296.645,cgre,30
251,0.786362,297.352,cgre,30
250,0.788645,298.038,cgre,30
249,0.801127,298.713,cgre,30
248,0.833474,299.442,cgre,30
247,0.85534,300.212,cgre,30
246,0.831757,301.042,cgre,30
245,0.80704,301.898,cgre,30
244,0.782048,302.803,cgre,30
243,0.751277,303.806,cgre,30
242,0.773597,304.943,cgre,30
241,0.754753,306.209,cgre,30
240,0.807076,307.653,cgre,30
239,0.897075,309.267,cgre,30
238,0.960196,311.037,cgre,30
237,0.950783,312.956,cgre,30
236,0.822611,315.014,cgre,30
235,0.63599,317.234,cgre,30
234,0.379052,319.6,cgre,30
233,0.103061,322.119,cgre,30
232,-0.384097,324.684,cgre,30
231,-0.881407,327.415,cgre,30
230,-1.42735,330.456,cgre,30
229,-1.92145,333.897,cgre,30
228,-2.43428,337.901,cgre,30
227,-2.88041,342.47,cgre,30
226,-3.36103,347.759,cgre,30
