gene,temperature,Cp_kJ/mol/K,replicate
pplu,69.421441,0,0
pplu,69.45479,0.034169,0
pplu,69.487938,0.044218,0
pplu,69.52117,-0.116274,0
pplu,69.554521,-0.225815,0
pplu,69.587866,-0.392292,0
pplu,69.621272,-0.511883,0
pplu,69.654845,-0.605082,0
pplu,69.688549,-0.623489,0
pplu,69.721906,-0.494295,0
pplu,69.755521,-0.345837,0
pplu,69.789339,-0.167034,0
pplu,69.822651,-0.120743,0
pplu,69.85575,-0.125511,0
pplu,69.888837,-0.103179,0
pplu,69.922114,-0.177687,0
pplu,69.955002,-0.275994,0
pplu,69.987991,-0.256864,0
pplu,70.021282,-0.135429,0
pplu,70.054782,-0.199179,0
pplu,70.088396,-0.284721,0
pplu,70.121905,-0.271369,0
pplu,70.155562,-0.282522,0
pplu,70.189094,-0.395438,0
pplu,70.222703,-0.472712,0
pplu,70.256524,-0.475881,0
pplu,70.290173,-0.541629,0
pplu,70.323897,-0.594945,0
pplu,70.357528,-0.569795,0
pplu,70.391317,-0.434233,0
pplu,70.425092,-0.494247,0
pplu,70.458723,-0.573932,0
pplu,70.492363,-0.504057,0
pplu,70.525789,-0.486231,0
pplu,70.559447,-0.435843,0
pplu,70.592742,-0.495331,0
pplu,70.626073,-0.451209,0
pplu,70.659317,-0.461213,0
pplu,70.69263,-0.4855,0
pplu,70.726179,-0.522968,0
pplu,70.759592,-0.598731,0
pplu,70.793253,-0.679141,0
pplu,70.826936,-0.784269,0
pplu,70.860509,-0.674192,0
pplu,70.89397,-0.709947,0
pplu,70.927578,-0.729529,0
pplu,70.96107,-0.769604,0
pplu,70.994481,-0.858637,0
pplu,71.027902,-0.84568,0
pplu,71.061341,-0.924372,0
pplu,71.094845,-0.914371,0
pplu,71.128436,-0.918186,0
pplu,71.162156,-0.938892,0
pplu,71.195834,-0.86102,0
pplu,71.229498,-0.917091,0
pplu,71.263059,-0.880465,0
pplu,71.296716,-0.831607,0
pplu,71.330193,-0.923349,0
pplu,71.363589,-0.912936,0
pplu,71.397111,-0.992233,0
pplu,71.43049,-0.928216,0
pplu,71.464085,-0.891961,0
pplu,71.497179,-0.926,0
pplu,71.530128,-0.836168,0
pplu,71.563185,-0.820365,0
pplu,71.596298,-0.81663,0
pplu,71.629343,-0.890359,0
pplu,71.662413,-1.020873,0
pplu,71.695758,-1.18118,0
pplu,71.729242,-1.336094,0
pplu,71.762668,-1.442888,0
pplu,71.795982,-1.363411,0
pplu,71.829444,-1.346434,0
pplu,71.862789,-1.392789,0
pplu,71.896338,-1.26286,0
pplu,71.929925,-1.110178,0
pplu,71.963399,-1.073815,0
pplu,71.996938,-1.167899,0
pplu,72.030482,-1.185827,0
