temperature,gene,gfp_conc_mgml,buffer,unfolding_ratio,unfolding_ratio_deriv,unfolding_scatter,unfolding_scatter_deriv,refolding_ratio,refolding_ratio_deriv,refolding_scatter,refolding_scatter_deriv
20,pplu,1,im25mM_h2o,0.635,-0.000245,88.897,-0.071716,0.588,0.000636,147.448,-0.085216
20.054,pplu,1,im25mM_h2o,0.629,-0.000245,87.788,-0.071383,0.589,0.000636,146.977,-0.084996
20.108,pplu,1,im25mM_h2o,0.63,-0.000245,87.784,-0.071033,0.587,0.000636,146.678,-0.084775
20.162,pplu,1,im25mM_h2o,0.631,-0.000245,87.647,-0.070664,0.588,0.000636,146.599,-0.084552
20.216,pplu,1,im25mM_h2o,0.633,-0.000245,87.926,-0.070277,0.587,0.000636,146.709,-0.084327
20.27,pplu,1,im25mM_h2o,0.634,-0.000245,87.415,-0.069871,0.587,0.000637,146.945,-0.084101
20.324,pplu,1,im25mM_h2o,0.631,-0.000245,87.684,-0.069446,0.591,0.000637,146.713,-0.083873
20.377,pplu,1,im25mM_h2o,0.629,-0.000245,87.482,-0.069,0.59,0.000637,146.806,-0.083643
20.431,pplu,1,im25mM_h2o,0.633,-0.000245,87.736,-0.068533,0.59,0.000637,146.97,-0.083411
20.485,pplu,1,im25mM_h2o,0.627,-0.000245,88.139,-0.068045,0.59,0.000637,147.034,-0.083178
20.539,pplu,1,im25mM_h2o,0.63,-0.000245,87.659,-0.067534,0.591,0.000637,146.934,-0.082943
20.593,pplu,1,im25mM_h2o,0.631,-0.000245,87.556,-0.067001,0.589,0.000637,146.954,-0.082706
20.647,pplu,1,im25mM_h2o,0.631,-0.000245,87.819,-0.066444,0.59,0.000637,147.229,-0.082467
20.701,pplu,1,im25mM_h2o,0.629,-0.000245,87.905,-0.065864,0.59,0.000637,146.828,-0.082226
20.755,pplu,1,im25mM_h2o,0.633,-0.000245,87.748,-0.065262,0.589,0.000638,146.999,-0.081984
20.809,pplu,1,im25mM_h2o,0.63,-0.000245,87.981,-0.064637,0.59,0.000638,146.981,-0.08174
20.863,pplu,1,im25mM_h2o,0.629,-0.000245,87.978,-0.063992,0.589,0.000638,146.949,-0.081494
20.917,pplu,1,im25mM_h2o,0.632,-0.000245,87.516,-0.063327,0.587,0.000638,147.187,-0.081246
20.971,pplu,1,im25mM_h2o,0.632,-0.000245,87.998,-0.062645,0.588,0.000638,146.957,-0.080996
21.025,pplu,1,im25mM_h2o,0.631,-0.000245,88.202,-0.061949,0.589,0.000638,147.018,-0.080745
21.078,pplu,1,im25mM_h2o,0.63,-0.000245,87.896,-0.061239,0.59,0.000638,147.194,-0.080492
21.132,pplu,1,im25mM_h2o,0.631,-0.000245,87.752,-0.060519,0.59,0.000638,147.009,-0.080238
21.186,pplu,1,im25mM_h2o,0.632,-0.000245,87.648,-0.059792,0.59,0.000638,147.065,-0.079982
21.24,pplu,1,im25mM_h2o,0.632,-0.000245,87.806,-0.059059,0.59,0.000639,147.099,-0.079724
21.294,pplu,1,im25mM_h2o,0.631,-0.000245,87.983,-0.058324,0.59,0.000639,146.975,-0.079465
21.348,pplu,1,im25mM_h2o,0.633,-0.000245,87.626,-0.057589,0.589,0.000639,147.004,-0.079204
21.402,pplu,1,im25mM_h2o,0.632,-0.000245,87.571,-0.056857,0.589,0.000639,146.909,-0.078941
21.456,pplu,1,im25mM_h2o,0.631,-0.000245,88.059,-0.05613,0.589,0.000639,146.778,-0.078677
21.51,pplu,1,im25mM_h2o,0.632,-0.000245,87.76,-0.055412,0.589,0.000639,146.836,-0.078412
21.564,pplu,1,im25mM_h2o,0.629,-0.000245,87.713,-0.054705,0.59,0.000639,146.729,-0.078145
21.618,pplu,1,im25mM_h2o,0.628,-0.000245,87.8,-0.05401,0.59,0.000639,146.728,-0.077877
21.672,pplu,1,im25mM_h2o,0.632,-0.000245,87.57,-0.053332,0.588,0.00064,146.888,-0.077608
21.726,pplu,1,im25mM_h2o,0.632,-0.000245,87.383,-0.052671,0.589,0.00064,146.931,-0.077337
21.78,pplu,1,im25mM_h2o,0.632,-0.000245,87.854,-0.052032,0.593,0.00064,146.883,-0.077066
21.833,pplu,1,im25mM_h2o,0.628,-0.000245,87.805,-0.051416,0.591,0.00064,147.075,-0.076793
21.887,pplu,1,im25mM_h2o,0.628,-0.000245,87.752,-0.050827,0.59,0.00064,147.053,-0.076519
21.941,pplu,1,im25mM_h2o,0.629,-0.000245,87.591,-0.05027,0.59,0.00064,146.764,-0.076244
21.995,pplu,1,im25mM_h2o,0.632,-0.000245,87.732,-0.049746,0.589,0.00064,146.935,-0.075968
22.049,pplu,1,im25mM_h2o,0.63,-0.000245,87.809,-0.04926,0.59,0.00064,146.773,-0.075691
22.103,pplu,1,im25mM_h2o,0.632,-0.000245,88.053,-0.048816,0.59,0.000641,147.002,-0.075413
22.157,pplu,1,im25mM_h2o,0.633,-0.000245,87.754,-0.048418,0.593,0.000641,147.354,-0.075135
22.211,pplu,1,im25mM_h2o,0.633,-0.000245,87.697,-0.048068,0.589,0.000641,146.902,-0.074856
22.265,pplu,1,im25mM_h2o,0.633,-0.000245,87.567,-0.047771,0.591,0.000641,146.766,-0.074576
22.319,pplu,1,im25mM_h2o,0.633,-0.000245,87.352,-0.047531,0.589,0.000641,146.991,-0.074296
22.373,pplu,1,im25mM_h2o,0.631,-0.000245,87.434,-0.04735,0.59,0.000641,146.745,-0.074016
22.427,pplu,1,im25mM_h2o,0.632,-0.000245,87.519,-0.047234,0.589,0.000641,147.355,-0.073735
22.481,pplu,1,im25mM_h2o,0.631,-0.000245,87.468,-0.047183,0.591,0.000641,147.328,-0.073453
22.534,pplu,1,im25mM_h2o,0.632,-0.000245,87.639,-0.047203,0.591,0.000641,147.085,-0.073172
22.588,pplu,1,im25mM_h2o,0.631,-0.000245,87.641,-0.047294,0.591,0.000642,147.1,-0.07289
22.642,pplu,1,im25mM_h2o,0.63,-0.000245,87.546,-0.047457,0.59,0.000642,146.885,-0.072608
22.696,pplu,1,im25mM_h2o,0.632,-0.000245,87.794,-0.04769,0.591,0.000642,146.884,-0.072325
22.75,pplu,1,im25mM_h2o,0.633,-0.000245,87.683,-0.047992,0.59,0.000642,147.143,-0.072042
22.804,pplu,1,im25mM_h2o,0.631,-0.000245,87.447,-0.048353,0.593,0.000642,146.891,-0.071758
22.858,pplu,1,im25mM_h2o,0.629,-0.000245,87.461,-0.048763,0.591,0.000642,146.818,-0.071472
22.912,pplu,1,im25mM_h2o,0.629,-0.000245,87.192,-0.049201,0.589,0.000642,146.782,-0.071183
22.966,pplu,1,im25mM_h2o,0.631,-0.000245,87.304,-0.049637,0.589,0.000642,146.152,-0.07089
23.02,pplu,1,im25mM_h2o,0.63,-0.000245,87.573,-0.050027,0.588,0.000642,146.718,-0.07059
23.074,pplu,1,im25mM_h2o,0.632,-0.000245,87.513,-0.050307,0.59,0.000643,146.772,-0.070281
23.128,pplu,1,im25mM_h2o,0.63,-0.000245,87.334,-0.050868,0.592,0.000642,146.771,-0.069935
