temperature,well,gene,value
20.1,A1,blank,0.011973389
20.7192126,A1,blank,0.011973389
21.3384252,A1,blank,0.038914967
21.9576378,A1,blank,0.029678174
22.57685039,A1,blank,0.034553502
23.19606299,A1,blank,0.044793448
23.81527559,A1,blank,-0.000239011
24.43448819,A1,blank,-0.018496836
25.05370079,A1,blank,-0.001789913
25.67291339,A1,blank,-0.000345297
26.29212598,A1,blank,-0.035641201
26.91133858,A1,blank,-0.047652043
27.53055118,A1,blank,0.013540944
28.14976378,A1,blank,0.043523834
28.76897638,A1,blank,-0.011243652
29.38818898,A1,blank,-0.031611362
30.00740157,A1,blank,0.031565669
30.62661417,A1,blank,0.048018146
31.24582677,A1,blank,0.009378744
31.86503937,A1,blank,-0.023974107
32.48425197,A1,blank,-0.016764252
33.10346457,A1,blank,0.005650581
33.72267717,A1,blank,-0.005283959
34.34188976,A1,blank,-0.015776915
34.96110236,A1,blank,0.001901881
35.58031496,A1,blank,0.01339488
36.19952756,A1,blank,0.016385761
36.81874016,A1,blank,0.033668991
37.43795276,A1,blank,0.026315629
38.05716535,A1,blank,-0.037625209
38.67637795,A1,blank,-0.058602281
39.29559055,A1,blank,-0.004534201
39.91480315,A1,blank,0.013960892
40.53401575,A1,blank,0.021167408
41.15322835,A1,blank,0.02964986
41.77244094,A1,blank,0.012756778
42.39165354,A1,blank,0.004344966
43.01086614,A1,blank,0.008121434
43.63007874,A1,blank,0.006382425
44.24929134,A1,blank,-0.001349469
44.86850394,A1,blank,-0.04457308
45.48771654,A1,blank,-0.034790118
46.10692913,A1,blank,0.03785964
46.72614173,A1,blank,0.009877685
47.34535433,A1,blank,-0.043485492
47.96456693,A1,blank,-0.021143369
48.58377953,A1,blank,0.040193562
49.20299213,A1,blank,0.069241247
49.82220472,A1,blank,0.03202348
50.44141732,A1,blank,0.010291933
51.06062992,A1,blank,0.009464595
51.67984252,A1,blank,0.002727338
52.29905512,A1,blank,-0.01658868
52.91826772,A1,blank,0.017018665
53.53748031,A1,blank,0.057714266
54.15669291,A1,blank,0.040485687
54.77590551,A1,blank,-0.011163899
55.39511811,A1,blank,-0.041363975
56.01433071,A1,blank,-0.009539174
56.63354331,A1,blank,0.017622313
57.25275591,A1,blank,0.054291304
57.8719685,A1,blank,0.032527369
58.4911811,A1,blank,-0.004216972
59.1103937,A1,blank,-0.007969099
59.7296063,A1,blank,-0.014546264
60.3488189,A1,blank,0.013842276
60.9680315,A1,blank,0.060717693
61.58724409,A1,blank,0.030145651
62.20645669,A1,blank,-0.02347952
62.82566929,A1,blank,0.002622927
63.44488189,A1,blank,0.035649539
64.06409449,A1,blank,0.048096012
64.68330709,A1,blank,0.018701388
65.30251969,A1,blank,-0.007946807
65.92173228,A1,blank,-0.003696683
66.54094488,A1,blank,0.008997317
67.16015748,A1,blank,0.015325884
67.77937008,A1,blank,0.014914227
68.39858268,A1,blank,0.019980481
69.01779528,A1,blank,-0.025509427
69.63700787,A1,blank,-0.013332522
70.25622047,A1,blank,-0.00598909
70.87543307,A1,blank,-0.038210955
71.49464567,A1,blank,0.028970211
72.11385827,A1,blank,0.032510893
72.73307087,A1,blank,0.02094813
73.35228346,A1,blank,0.038797078
73.97149606,A1,blank,-0.037687797
74.59070866,A1,blank,-0.032112867
75.20992126,A1,blank,0.025719873
75.82913386,A1,blank,-0.02077691
76.44834646,A1,blank,-0.040499988
77.06755906,A1,blank,0.014876635
77.68677165,A1,blank,0.032222102
78.30598425,A1,blank,0.022973357
78.92519685,A1,blank,0.025083395
79.54440945,A1,blank,0.021890515
80.16362205,A1,blank,0.003410813
80.78283465,A1,blank,-0.03434995
81.40204724,A1,blank,0.014070069
82.02125984,A1,blank,0.047729412
82.64047244,A1,blank,0.049138518
83.25968504,A1,blank,0.031705444
83.87889764,A1,blank,0.036678772
84.49811024,A1,blank,0.041411057
85.11732283,A1,blank,-0.015457322
85.73653543,A1,blank,0.018992392
86.35574803,A1,blank,0.021845227
86.97496063,A1,blank,0.002133707
87.59417323,A1,blank,0.043658862
88.21338583,A1,blank,0.024367072
88.83259843,A1,blank,-0.002097472
89.45181102,A1,blank,0.001754221
90.07102362,A1,blank,0.014357947
90.69023622,A1,blank,0.025979357
91.30944882,A1,blank,0.008207142
91.92866142,A1,blank,-0.004302887
92.54787402,A1,blank,0.018469395
93.16708661,A1,blank,0.053678947
93.78629921,A1,blank,0.003250213
94.40551181,A1,blank,-0.027460161
95.02472441,A1,blank,0.031017031
95.64393701,A1,blank,0.025237851
96.26314961,A1,blank,-0.033565252
96.8823622,A1,blank,0.009115993
97.5015748,A1,blank,0.098684062
98.1207874,A1,blank,0.030591535
98.74,A1,blank,0.030591535
20.1,A2,amac,6.852482871
20.7192126,A2,amac,6.852482871
21.3384252,A2,amac,2.116672448
21.9576378,A2,amac,0.306602809
22.57685039,A2,amac,0.008498623
23.19606299,A2,amac,-0.690080207
23.81527559,A2,amac,-1.118913359
24.43448819,A2,amac,-0.786216667
25.05370079,A2,amac,-0.812406034
25.67291339,A2,amac,-1.240803395
26.29212598,A2,amac,-1.131869038
26.91133858,A2,amac,-0.769504151
27.53055118,A2,amac,-0.963591467
28.14976378,A2,amac,-1.307383089
28.76897638,A2,amac,-1.49836592
29.38818898,A2,amac,-1.479563761
30.00740157,A2,amac,-1.427937311
30.62661417,A2,amac,-1.533907963
31.24582677,A2,amac,-1.427149421
31.86503937,A2,amac,-1.347525805
32.48425197,A2,amac,-0.973971168
33.10346457,A2,amac,-0.52616626
33.72267717,A2,amac,-0.653549099
34.34188976,A2,amac,-0.937026697
34.96110236,A2,amac,-0.680370352
35.58031496,A2,amac,-0.175949439
36.19952756,A2,amac,0.061167445
36.81874016,A2,amac,0.244192591
37.43795276,A2,amac,0.173156709
38.05716535,A2,amac,0.103214089
38.67637795,A2,amac,0.450490593
39.29559055,A2,amac,0.889539823
39.91480315,A2,amac,0.919252645
40.53401575,A2,amac,0.884210271
41.15322835,A2,amac,0.97242306
41.77244094,A2,amac,0.79667781
42.39165354,A2,amac,0.891413117
43.01086614,A2,amac,1.17353256
43.63007874,A2,amac,1.18738457
44.24929134,A2,amac,0.822760655
44.86850394,A2,amac,0.28919205
45.48771654,A2,amac,1.820312526
46.10692913,A2,amac,5.336682116
46.72614173,A2,amac,8.023883658
47.34535433,A2,amac,8.897546844
47.96456693,A2,amac,8.829871259
48.58377953,A2,amac,8.92259173
49.20299213,A2,amac,9.206402397
49.82220472,A2,amac,9.586485842
50.44141732,A2,amac,9.845041882
51.06062992,A2,amac,9.677185658
51.67984252,A2,amac,9.629271398
52.29905512,A2,amac,9.955672392
52.91826772,A2,amac,10.14768417
53.53748031,A2,amac,10.17672958
54.15669291,A2,amac,10.38632599
54.77590551,A2,amac,10.34383024
55.39511811,A2,amac,10.24529081
56.01433071,A2,amac,10.57106247
56.63354331,A2,amac,10.743514
57.25275591,A2,amac,10.75498957
57.8719685,A2,amac,10.75305339
58.4911811,A2,amac,10.83296602
59.1103937,A2,amac,11.07766735
59.7296063,A2,amac,11.13217338
60.3488189,A2,amac,11.15647027
60.9680315,A2,amac,11.5903351
61.58724409,A2,amac,11.87254527
62.20645669,A2,amac,11.88542122
62.82566929,A2,amac,12.06154132
63.44488189,A2,amac,12.54481297
64.06409449,A2,amac,13.10079921
64.68330709,A2,amac,13.5289916
65.30251969,A2,amac,13.96377192
65.92173228,A2,amac,14.22059317
66.54094488,A2,amac,14.68055447
67.16015748,A2,amac,15.23556798
67.77937008,A2,amac,15.43284656
68.39858268,A2,amac,15.79479798
69.01779528,A2,amac,16.15794222
69.63700787,A2,amac,16.40583693
70.25622047,A2,amac,16.80548888
70.87543307,A2,amac,16.99427352
71.49464567,A2,amac,17.06847397
