,time,gene,well,fluorescence,fluorescence_normed
0,0,cgre,D1,0.0,0.0
1,50,cgre,D1,1392.0,0.10899694620624853
2,100,cgre,D1,1598.0,0.12512724140631118
3,150,cgre,D1,1920.0,0.15034061545689453
4,200,cgre,D1,2219.0,0.1737530342181505
5,250,cgre,D1,2178.0,0.17054263565891473
6,300,cgre,D1,2521.0,0.19740036019105786
7,350,cgre,D1,2821.0,0.22089108135619764
8,400,cgre,D1,2818.0,0.22065617414454625
9,450,cgre,D1,3068.0,0.24023177511549604
10,500,cgre,D1,3392.0,0.265601753973847
11,550,cgre,D1,3529.0,0.2763291833059275
12,600,cgre,D1,3434.0,0.26889045493696656
13,650,cgre,D1,3570.0,0.27953958186516326
14,700,cgre,D1,3954.0,0.30960770495654216
15,750,cgre,D1,3939.0,0.3084331688982852
16,800,cgre,D1,4085.0,0.31986531986531985
17,850,cgre,D1,4122.0,0.3227625088090204
18,900,cgre,D1,4237.0,0.33176728525565735
19,950,cgre,D1,4462.0,0.3493853261295122
20,1000,cgre,D1,4434.0,0.3471928588207658
21,1050,cgre,D1,4784.0,0.37459870018009556
22,1100,cgre,D1,4731.0,0.3704486727742542
23,1150,cgre,D1,4829.0,0.3781223083548665
24,1200,cgre,D1,4935.0,0.3864223631665492
25,1250,cgre,D1,4993.0,0.3909639025918096
26,1300,cgre,D1,5190.0,0.406389476156918
27,1350,cgre,D1,4861.0,0.3806279852791481
28,1400,cgre,D1,5295.0,0.41461122856471694
29,1450,cgre,D1,5288.0,0.41406311173753035
30,1500,cgre,D1,5423.0,0.42463393626184326
31,1550,cgre,D1,5481.0,0.42917547568710357
32,1600,cgre,D1,5469.0,0.428235846840498
33,1650,cgre,D1,5670.0,0.4439746300211416
34,1700,cgre,D1,5826.0,0.45618980502701434
35,1750,cgre,D1,5552.0,0.4347349463628533
36,1800,cgre,D1,5793.0,0.45360582569884894
37,1850,cgre,D1,5622.0,0.44021611463471927
38,1900,cgre,D1,5768.0,0.451648265601754
39,1950,cgre,D1,5926.0,0.46402004541539427
40,2000,cgre,D1,5867.0,0.4594002035862501
41,2050,cgre,D1,5902.0,0.4621407877221831
42,2100,cgre,D1,6113.0,0.4786625949416647
43,2150,cgre,D1,6097.0,0.47740975647952394
44,2200,cgre,D1,6151.0,0.4816380862892491
45,2250,cgre,D1,6038.0,0.4727899146503798
46,2300,cgre,D1,6071.0,0.4753738939785451
47,2350,cgre,D1,6371.0,0.4988646151436849
48,2400,cgre,D1,6163.0,0.4825777151358547
49,2450,cgre,D1,6481.0,0.5074778795709028
50,2500,cgre,D1,6425.0,0.5030929449534101
51,2550,cgre,D1,6581.0,0.5153081199592827
52,2600,cgre,D1,6674.0,0.5225902435204761
53,2650,cgre,D1,6590.0,0.516012841594237
