SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	blank	1	2	1	31290	20	1.73
A1	blank	1	2	1	31540	20	1.72
A1	blank	1	2	1	31900	20.08	2.07
A1	blank	1	2	1	32250	20.31	2.07
A1	blank	1	2	1	32600	20.39	1.89
A1	blank	1	2	1	32950	20.61	1.89
A1	blank	1	2	1	33290	20.69	1.89
A1	blank	1	2	1	33660	20.84	1.72
A1	blank	1	2	1	33990	21	1.89
A1	blank	1	2	1	34340	21.15	2.07
A1	blank	1	2	1	34690	21.23	1.89
A1	blank	1	2	1	35040	21.37	1.72
A1	blank	1	2	1	35380	21.52	1.89
A1	blank	1	2	1	35740	21.83	1.89
A1	blank	1	2	1	36080	21.97	1.89
A1	blank	1	2	1	36430	22.12	1.89
A1	blank	1	2	1	36770	22.2	1.72
A1	blank	1	2	1	37130	22.33	1.89
A1	blank	1	2	1	37470	22.48	1.89
A1	blank	1	2	1	37820	22.62	1.72
A1	blank	1	2	1	38160	22.84	1.89
A1	blank	1	2	1	38520	22.98	1.72
A1	blank	1	2	1	38870	23.05	2.06
A1	blank	1	2	1	39210	23.19	2.06
A1	blank	1	2	1	39560	23.33	1.72
A1	blank	1	2	1	39920	23.54	1.89
A1	blank	1	2	1	40250	23.68	1.89
A1	blank	1	2	1	40610	23.83	1.72
A1	blank	1	2	1	40950	23.96	1.89
A1	blank	1	2	1	41300	24.1	1.89
A1	blank	1	2	1	41650	24.3	1.89
A1	blank	1	2	1	42000	24.44	1.89
A1	blank	1	2	1	42350	24.57	1.89
A1	blank	1	2	1	42700	24.64	2.06
A1	blank	1	2	1	43040	24.84	2.06
A1	blank	1	2	1	43390	24.97	1.89
A1	blank	1	2	1	43740	25.17	1.89
A1	blank	1	2	1	44090	25.31	2.23
A1	blank	1	2	1	44430	25.44	1.89
A1	blank	1	2	1	44790	25.51	1.89
A1	blank	1	2	1	45140	25.75	2.06
A1	blank	1	2	1	45480	25.83	1.89
A1	blank	1	2	1	45830	26.02	1.72
A1	blank	1	2	1	46180	26.15	2.06
A1	blank	1	2	1	46520	26.34	2.23
A1	blank	1	2	1	46870	26.48	1.72
A1	blank	1	2	1	47210	26.59	1.89
A1	blank	1	2	1	47570	26.72	1.89
A1	blank	1	2	1	47910	26.85	1.89
A1	blank	1	2	1	48260	27.03	1.89
A1	blank	1	2	1	48620	27.16	1.89
A1	blank	1	2	1	48970	27.35	1.72
A1	blank	1	2	1	49310	27.47	2.06
A1	blank	1	2	1	49660	27.59	1.89
A1	blank	1	2	1	50010	27.71	1.89
A1	blank	1	2	1	50350	27.84	1.72
A1	blank	1	2	1	50710	28.02	1.89
A1	blank	1	2	1	51050	28.2	2.06
A1	blank	1	2	1	51400	28.31	1.89
A1	blank	1	2	1	51740	28.5	1.89
A1	blank	1	2	1	52100	28.61	1.89
A1	blank	1	2	1	52440	28.8	2.06
A1	blank	1	2	1	52790	28.91	2.23
A1	blank	1	2	1	53140	29.04	1.89
A1	blank	1	2	1	53490	29.15	1.72
A1	blank	1	2	1	53830	29.38	1.54
A1	blank	1	2	1	54190	29.44	2.06
A1	blank	1	2	1	54530	29.55	2.06
A1	blank	1	2	1	54880	29.67	1.89
A1	blank	1	2	1	55230	29.91	2.06
A1	blank	1	2	1	55580	30.02	1.89
A1	blank	1	2	1	55920	30.18	1.89
A1	blank	1	2	1	56280	30.3	2.06
A1	blank	1	2	1	56630	30.47	1.89
A1	blank	1	2	1	56970	30.64	1.72
A1	blank	1	2	1	57320	30.81	2.06
A1	blank	1	2	1	57670	30.91	1.72
A1	blank	1	2	1	58010	31.02	1.89
A1	blank	1	2	1	58360	31.19	1.89
A1	blank	1	2	1	58710	31.3	2.06
A1	blank	1	2	1	59060	31.47	2.23
A1	blank	1	2	1	59400	31.58	1.89
A1	blank	1	2	1	59760	31.75	2.06
A1	blank	1	2	1	60110	31.9	1.89
A1	blank	1	2	1	60450	32.06	1.89
A1	blank	1	2	1	60790	32.17	1.89
A1	blank	1	2	1	61150	32.34	2.06
A1	blank	1	2	1	61490	32.49	1.89
A1	blank	1	2	1	61850	32.65	1.89
A1	blank	1	2	1	62200	32.75	1.71
A1	blank	1	2	1	62540	32.91	2.06
A1	blank	1	2	1	62900	33.02	1.71
A1	blank	1	2	1	63240	33.17	1.89
A1	blank	1	2	1	63580	33.34	1.89
A1	blank	1	2	1	63940	33.49	2.06
