,potential,Predicted fluorescence,Observed fluorescence
0,1.1218233,3.6633627,3.7192121319
1,0.034660757,2.4542882,1.30103000388
2,-0.28620112,1.5368756,1.49957271993
3,0.17932934,2.9728806,2.96070167578
4,-0.526168,1.3879572,1.66189402382
5,1.0481267,3.6566284,3.73838904826
6,0.98958236,3.6502202,3.57637736428
7,0.67956585,3.5867207,3.42211115163
8,0.57497,3.5427537,3.12244033509
9,0.9757518,3.648542,3.58365730962
10,0.6440056,3.573808,3.62931534845
11,0.7403489,3.6050842,3.59157004101
12,0.4975282,3.495085,3.13735413312
13,1.2337646,3.6714904,3.81968408211
14,0.83335274,3.6263864,3.83340396548
15,1.0334077,3.6551154,3.67918895509
16,1.1796844,3.667831,3.63820589307
17,1.1242778,3.6635659,3.72795401892
18,1.0727301,3.6590247,3.69901268766
19,0.45730394,3.4629858,3.03489113914
20,-1.7849557,1.4350528,1.36963052204
21,-0.64116246,1.3769829,1.47635957491
22,-3.8173754,1.4002948,1.30102999206
23,-1.1114962,1.4065406,1.44960120838
24,0.44291106,3.449981,3.25909873823
25,1.1010871,3.6615982,3.63635680956
26,-1.3864608,1.4238309,1.3023267285
27,0.6648087,3.5815804,3.69262144092
28,0.24374712,3.1436412,3.13893393513
29,0.60312515,3.5564983,3.56198110393
30,1.153173,3.6658618,3.71964860095
31,0.62423784,3.5657973,3.74039569255
32,0.6088554,3.5591025,3.75356833938
33,0.17107654,2.9479568,3.3619314982
34,-1.0145755,1.3987813,1.40639048876
35,-0.14169058,1.8252656,1.30103121909
36,0.43009195,3.4376423,3.42567836393
37,0.5264364,3.5148025,3.19403795411
38,0.49939698,3.4964383,3.20329514416
39,0.74627465,3.6066616,3.37382990649
40,0.607073,3.558299,3.38734706426
41,1.0881867,3.6604514,3.5294728833
42,0.72151643,3.5998359,3.65980779241
43,1.3634813,3.6787589,3.82490612607
44,1.338526,3.6774948,3.7107169812
45,0.62020606,3.5640836,3.72780381795
46,0.6356749,3.5705101,3.14288559225
47,1.5360296,3.6863172,3.59349741493
48,0.7051155,3.5949554,3.59209698323
49,1.2037017,3.669512,3.82509653652
50,1.2845128,3.674555,3.79464896405
51,1.1292531,3.663973,3.69415893839
52,0.9128967,3.6399734,3.7335798036
53,1.1345389,3.6644,3.53784407131
54,1.2617517,3.6732206,3.67799349013
55,0.9584386,3.646342,3.68629248799
56,1.0106356,3.6526482,3.69841066742
57,0.8654039,3.6322873,3.55762917818
58,-1.1151347,1.4068189,1.30102974551
59,-2.9388866,1.4198829,1.30102999164
60,-0.06345752,2.0758734,1.30102997846
61,-1.5335317,1.4297383,1.30103000403
62,-1.107487,1.4062326,1.30102994779
63,-0.8092546,1.3823886,1.30102997764
64,-1.9780054,1.4358823,1.52133788062
65,-0.51638,1.3899114,1.54814509988
66,-0.4243167,1.4207153,1.30298076884
67,-1.3404372,1.4215049,1.6547551312
68,-0.6203677,1.3776741,1.3010317726
69,-3.0031168,1.4183716,1.4803262702
70,-1.632057,1.4324815,1.30324395674
71,-2.45428,1.4304297,1.30103122911
72,-1.4704401,1.4274818,1.54957939594
73,-0.55415565,1.3834229,1.37973024947
74,-2.6398387,1.4266818,1.30553928806
75,-0.46777993,1.4030222,1.61818566869
76,-0.54310316,1.3850377,1.30106317061
